city,city_id,coord,m_name,m_status,phone,mail,link,data_id
Москва,99,"55.643700940043,37.637306795362",Главный офис АСЦН,Сервисный центр,8 495 780-55-65,,,522
Альметьевск,51,"54.899984580316,52.294586579101",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-4737,f.zaripov@ascn.ru,,259
Астрахань,52,"46.362519783279,48.039568436523",КОНТАКТ-СЕРВИС КФ ООО,Сервисный центр,+7 (812) 50-10-88,ks-30@inbox.ru,,260
Архангельск,50,"64.554514384455,40.539196347885",ККМцентр ООО,Сервисный центр,"+7 (8182) 62-55-46, +7 (8182) 62-55-51 , +7 (964) 298-70-34",emelyanov@kkmcentr.ru,,285
Барнаул,49,,Бинтрейд ООО,Сервисный центр,+7 (3852) 25-35-06,v.inform.mail.ru,,1854
Барнаул,49,"53.328219071142,83.656897584656",ЦТО-СТАРК-БАРНАУЛ ООО,Сервисный центр,+7 (3852) 536-436,slava@stark-cto.ru,stark-cto.ru,1873
Белгород,67,"50.587713057692,36.654037771164",АСЦ ПЛЮС ООО,Сервисный центр,+7 (4722) 78-31-16,info@belcto.ru,support@belcto.ru,286
Белоярский,139,,ДИМАСТЕР ООО,Сервисный центр,"+7 (34670) 2-31-45 , +7 (904) 885-26-90 , +7 (922) 432-77-22",kkm_dimaster@mail.ru,,1880
Благовещенск,136,"50.265371975617,127.53876823743","ТТЦ ООО ""Сервис"" ",Сервисный центр,+7 (4162) 33-99-33,ttc28@mail.ru,,1870
Брянск,68,"53.247354962091,34.353071135582",Автоматизация ООО,Сервисный центр,"+7 (919) 29-19-868, +7 (4832) 59-47-06",info@tksoft.ru,alevtina032@mail.ru,287
Великий Новгород,75,"58.53808094564,31.304428805557",ООО «РИК»,Сервисный центр,+7 (8162) 22-22-72,cto-rik-company@mail.ru,,295
Владивосток,23,,НЭК Сервис ООО,Сервисный центр,"+7 (423) 240-67-00, +7 (423) 240-69-00",nec406900@mail.ru,,1860
Владимир,53,"56.173650872249,40.470126544701",Кларити-ТехноЦентр,Сервисный центр,(920) 620-70-87,tcl@claritynn.ru,,2084
Волгоград,97,"48.691158017725,44.395085234689",Зезин Дмитрий Иванович (АСЦН),Сервисный центр,"+7 905 395-91-11, +7 (8442) 42-15-41",d.zezin@ascn.ru,,520
Вологда,54,"59.210092187165,39.882906644946",Соколов Игорь Сергеевич (АСЦН),Сервисный центр,+7 (905) 139-30-03,i.sokolov@ascn.ru,,262
Воронеж,55,"51.67937252089,39.158913604325",Панов Андрей Александрович (АСЦН),Сервисный центр,+7 (961) 187-01-11,a.panov@ascn.ru,,263
Екатеринбург,48,"56.822780740832,60.620909415344",Юрченко Антон Витальевич (АСЦН),Сервисный центр,+7 (965) 500-89-10,a.yurchenko@ascn.ru,,264
Иваново,56,"56.957480719231,40.975401271164",Соколов Игорь Сергеевич (АСЦН),Сервисный центр,+7 (915) 970-95-55,i.sokolov@ascn.ru,,265
Ижевск,82,"56.834964940291,53.226713042328",Арктур Сервис ООО,Сервисный центр,"+7 (3412) 63-78-57, +7 (3412) 610-310",vva@arctur-s.ru,,303
Иркутск,128,,АСФ-Иркутск ООО,Сервисный центр,+7 (3952) 280-780 доб. 184,support@asf-trade.ru, robot@asf-trade.ru,1850
Казань,46,"55.835495955452,49.093219882942",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-47-37,f.zaripov@ascn.ru,,266
Калининград,69,"54.725360295503,20.502700716898",ООО «Эпоха»,Сервисный центр,+7 (4012) 571-603,support@epoha.ru,,288
Калуга,70,"54.51476666311,36.251399791252",КАТЕКК ООО,Сервисный центр,"+7 (4842) 74-10-98, +7 (4842) 74-96-84 , +7 (910) 911-90-35",katekk@kaluga.ru,,289
Камышин,57,"50.081555305881,45.39373684137",Зезин Дмитрий Иванович (АСЦН),Сервисный центр,+7 (905) 395-91-11,d.zezin@ascn.ru,,267
Кемерово,44,,Юниверс ООО,Сервисный центр,"+7 (3842) 35-12-08, +7 (961) 710-0178",kemerovo@universe.su,,1862
